STOP_NAME,MAP_ID,Location X,Location Y
18th (54th/Cermak-bound),40830,41.857908,-87.669147
18th (Loop-bound),40830,41.857908,-87.669147
35th/Archer (Loop-bound),40120,41.829353,-87.680622
35th/Archer (Midway-bound),40120,41.829353,-87.680622
35-Bronzeville-IIT (63rd-bound),41120,41.831677,-87.625826
35-Bronzeville-IIT (Harlem-bound),41120,41.831677,-87.625826
43rd (63rd-bound),41270,41.816462,-87.619021
43rd (Harlem-bound),41270,41.816462,-87.619021
47th (63rd-bound),41080,41.809209,-87.618826
47th (Harlem-bound),41080,41.809209,-87.618826
47th (95th-bound),41230,41.810318,-87.63094
47th (Howard-bound),41230,41.810318,-87.63094
51st (63rd-bound),40130,41.80209,-87.618487
51st (Harlem-bound),40130,41.80209,-87.618487
54th/Cermak (Loop-bound),40580,41.85177331,-87.75669201
54th/Cermak (Terminal arrival),40580,41.85177331,-87.75669201
63rd (95th-bound),40910,41.780536,-87.630952
63rd (Howard-bound),40910,41.780536,-87.630952
69th (95th-bound),40990,41.768367,-87.625724
69th (Howard-bound),40990,41.768367,-87.625724
79th (95th-bound),40240,41.750419,-87.625112
79th (Howard-bound),40240,41.750419,-87.625112
87th (Howard-bound),41430,41.735372,-87.624717
87th (95th-bound),41430,41.735372,-87.624717
95th/Dan Ryan (95th-bound),40450,41.722377,-87.624342
95th/Dan Ryan (Howard-bound),40450,41.722377,-87.624342
Adams/Wabash (Inner Loop),40680,41.879507,-87.626037
Adams/Wabash (Outer Loop),40680,41.879507,-87.626037
Addison (O'Hare-bound),41240,41.947028,-87.674642
Addison (Forest Pk-bound),41240,41.947028,-87.674642
Addison (Kimball-bound),41440,41.947428,-87.653626
Addison (Loop-bound),41440,41.947428,-87.653626
Addison (95th-bound),41420,41.94738,-87.71906
Addison (Howard-bound),41420,41.94738,-87.71906
Argyle (95th-bound),41200,41.973453,-87.65853
Argyle (Howard-bound),41200,41.973453,-87.65853
Armitage (Kimball-Linden-bound),40660,41.918217,-87.652644
Armitage (Loop-bound),40660,41.918217,-87.652644
Ashland (Loop-63rd-bound),40170,41.839234,-87.665317
Ashland (Harlem-54th/Cermak-bound),40170,41.839234,-87.665317
Ashland (Loop-bound),41060,41.885269,-87.666969
Ashland (Midway-bound),41060,41.885269,-87.666969
Ashland/63rd (Harlem-bound),40290,41.77886,-87.663766
Ashland/63rd (Terminal arrival),40290,41.77886,-87.663766
Austin (Forest Pk-bound),40010,41.870851,-87.776812
Austin (O'Hare-bound),40010,41.870851,-87.776812
Austin (63rd-bound),41260,41.887293,-87.774135
Austin (Harlem-bound),41260,41.887293,-87.774135
Belmont (O'Hare Branch) (Forest Pk-bound),40060,41.938132,-87.712359
Belmont (O'Hare Branch) (O'Hare-bound),40060,41.938132,-87.712359
Belmont (95th-bound),41320,41.939751,-87.65338
Belmont (Howard-bound),41320,41.939751,-87.65338
Belmont (Kimball-Linden-bound),41320,41.939751,-87.65338
Belmont (Loop-bound),41320,41.939751,-87.65338
Berwyn (95th-bound),40340,41.977984,-87.658668
Berwyn (Howard-bound),40340,41.977984,-87.658668
Bryn Mawr (95th-bound),41380,41.983504,-87.65884
